slot_index,slot_id,start_frame,end_frame,target_frames,frame_extent,start_seconds,end_seconds,duration_seconds,duration_expected_seconds,duration_error_seconds
0,0,0,59,59,59,0.0,1.9666666666666666,1.9666666666666666,1.9666666666666666,0.0
1,1,59,126,67,67,1.9666666666666666,4.2,2.2333333333333334,2.2333333333333334,0.0
2,2,126,187,61,61,4.2,6.233333333333333,2.033333333333333,2.033333333333333,0.0
3,3,187,264,77,77,6.233333333333333,8.8,2.566666666666667,2.566666666666667,0.0
4,4,264,330,66,66,8.8,11.0,2.2,2.2,0.0
5,5,330,412,82,82,11.0,13.733333333333333,2.7333333333333334,2.7333333333333334,0.0
6,6,412,494,82,82,13.733333333333333,16.466666666666665,2.7333333333333334,2.7333333333333334,0.0
7,7,494,576,82,82,16.466666666666665,19.2,2.7333333333333334,2.7333333333333334,0.0
8,8,576,658,82,82,19.2,21.933333333333334,2.7333333333333334,2.7333333333333334,0.0
9,9,658,739,81,81,21.933333333333334,24.633333333333333,2.7,2.7,0.0
10,10,739,794,55,55,24.633333333333333,26.466666666666665,1.8333333333333333,1.8333333333333333,0.0
11,11,794,842,48,48,26.466666666666665,28.066666666666666,1.6,1.6,0.0
12,12,842,918,76,76,28.066666666666666,30.6,2.533333333333333,2.533333333333333,0.0
13,13,918,974,56,56,30.6,32.46666666666667,1.8666666666666667,1.8666666666666667,0.0
14,14,974,1041,67,67,32.46666666666667,34.7,2.2333333333333334,2.2333333333333334,0.0
15,15,1041,1097,56,56,34.7,36.56666666666667,1.8666666666666667,1.8666666666666667,0.0
16,16,1097,1164,67,67,36.56666666666667,38.8,2.2333333333333334,2.2333333333333334,0.0
17,17,1164,1230,66,66,38.8,41.0,2.2,2.2,0.0
18,18,1230,1302,72,72,41.0,43.4,2.4,2.4,0.0
19,19,1302,1363,61,61,43.4,45.43333333333333,2.033333333333333,2.033333333333333,0.0
20,20,1363,1425,62,62,45.43333333333333,47.5,2.066666666666667,2.066666666666667,0.0
21,21,1425,1486,61,61,47.5,49.53333333333333,2.033333333333333,2.033333333333333,0.0
22,22,1486,1558,72,72,49.53333333333333,51.93333333333333,2.4,2.4,0.0
23,23,1558,1640,82,82,51.93333333333333,54.666666666666664,2.7333333333333334,2.7333333333333334,0.0
24,24,1640,1711,71,71,54.666666666666664,57.03333333333333,2.3666666666666667,2.3666666666666667,0.0
25,25,1711,1762,51,51,57.03333333333333,58.733333333333334,1.7,1.7,0.0
26,26,1762,1833,71,71,58.733333333333334,61.1,2.3666666666666667,2.3666666666666667,0.0
27,27,1833,1915,82,82,61.1,63.833333333333336,2.7333333333333334,2.7333333333333334,0.0
28,28,1915,1987,72,72,63.833333333333336,66.23333333333333,2.4,2.4,0.0
29,29,1987,2063,76,76,66.23333333333333,68.76666666666667,2.533333333333333,2.533333333333333,0.0
30,30,2063,2120,57,57,68.76666666666667,70.66666666666667,1.9,1.9,0.0
31,31,2120,2171,51,51,70.66666666666667,72.36666666666666,1.7,1.7,0.0
32,32,2171,2242,71,71,72.36666666666666,74.73333333333333,2.3666666666666667,2.3666666666666667,0.0
33,33,2242,2324,82,82,74.73333333333333,77.46666666666667,2.7333333333333334,2.7333333333333334,0.0
34,34,2324,2416,92,92,77.46666666666667,80.53333333333333,3.066666666666667,3.066666666666667,0.0
35,35,2416,2498,82,82,80.53333333333333,83.26666666666667,2.7333333333333334,2.7333333333333334,0.0
36,36,2498,2580,82,82,83.26666666666667,86.0,2.7333333333333334,2.7333333333333334,0.0
37,37,2580,2636,56,56,86.0,87.86666666666666,1.8666666666666667,1.8666666666666667,0.0
38,38,2636,2692,56,56,87.86666666666666,89.73333333333333,1.8666666666666667,1.8666666666666667,0.0
39,39,2692,2759,67,67,89.73333333333333,91.96666666666667,2.2333333333333334,2.2333333333333334,0.0
40,40,2759,2841,82,82,91.96666666666667,94.7,2.7333333333333334,2.7333333333333334,0.0
41,41,2841,2922,81,81,94.7,97.4,2.7,2.7,0.0
42,42,2922,3004,82,82,97.4,100.13333333333334,2.7333333333333334,2.7333333333333334,0.0
43,43,3004,3061,57,57,100.13333333333334,102.03333333333333,1.9,1.9,0.0
44,44,3061,3127,66,66,102.03333333333333,104.23333333333333,2.2,2.2,0.0
45,45,3127,3209,82,82,104.23333333333333,106.96666666666667,2.7333333333333334,2.7333333333333334,0.0
46,46,3209,3285,76,76,106.96666666666667,109.5,2.533333333333333,2.533333333333333,0.0
47,47,3285,3368,83,83,109.5,112.26666666666667,2.7666666666666666,2.7666666666666666,0.0
48,48,3368,3449,81,81,112.26666666666667,114.96666666666667,2.7,2.7,0.0
49,49,3449,3521,72,72,114.96666666666667,117.36666666666666,2.4,2.4,0.0
50,50,3521,3601,80,80,117.36666666666666,120.03333333333333,2.6666666666666665,2.6666666666666665,0.0
